species;family;male;female;tot_adult;subadult_male;subadult_female;tot_subadult;juvenil;individuals_immatur;tot_individuals;month;year;date;trapnum;succession;ycoor;xcoor;latitude;longitude;height;tot_plants;mean_t;mean_k;mean_l;mean_f;mean_r;mean_n;mean_w;mean_h;mean_d
Pardosaamentata;Lycosidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel01;S3;2603159;1197069;46.92471;7.4801;509;10;3,6;2,6;2,4;3,1;3,2;2,9;1,7;3,4;2,6
Pardosahortensis;Lycosidae;3;0;3;0;0;0;0;0;3;Apr;2019;01.-30.04.2019;Sel01;S3;2603159;1197069;46.92471;7.4801;509;10;3,6;2,6;2,4;3,1;3,2;2,9;1,7;3,4;2,6
Pardosatenuipes;Lycosidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel01;S3;2603159;1197069;46.92471;7.4801;509;10;3,6;2,6;2,4;3,1;3,2;2,9;1,7;3,4;2,6
Hahniapusilla;Hahniidae;1;1;2;0;0;0;0;0;2;Apr;2019;01.-30.04.2019;Sel01;S3;2603159;1197069;46.92471;7.4801;509;10;3,6;2,6;2,4;3,1;3,2;2,9;1,7;3,4;2,6
Centromerusleruthi;Linyphiidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel01;S3;2603159;1197069;46.92471;7.4801;509;10;3,6;2,6;2,4;3,1;3,2;2,9;1,7;3,4;2,6
Pardosahortensis;Lycosidae;2;1;3;0;0;0;0;0;3;Apr;2019;01.-30.04.2019;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
Pardosasaltans;Lycosidae;86;6;92;0;0;0;0;0;92;Apr;2019;01.-30.04.2019;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
Pardosaamentata;Lycosidae;2;0;2;0;0;0;0;0;2;Apr;2019;01.-30.04.2019;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
Trochosaterricola;Lycosidae;6;1;7;0;0;0;0;0;7;Apr;2019;01.-30.04.2019;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
NA;Lycosidae;0;0;0;0;2;2;0;2;2;Apr;2019;01.-30.04.2019;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
Robertusneglectus;Theridiidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
NA;Linyphiidae;0;0;0;0;0;0;1;1;1;Apr;2019;01.-30.04.2019;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
Micronetaviaria;Linyphiidae;1;1;2;0;0;0;0;0;2;Apr;2019;01.-30.04.2019;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
Clubionapallidula;Clubionidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
Tapinocybainsecta;Linyphiidae;2;0;2;0;0;0;0;0;2;Apr;2019;01.-30.04.2019;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
Diplocephaluspicinus;Linyphiidae;5;0;5;0;0;0;0;0;5;Apr;2019;01.-30.04.2019;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
Centromerusleruthi;Linyphiidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
Pardosasaltans;Lycosidae;82;12;94;0;0;0;0;0;94;Apr;2019;01.-30.04.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
Pardosaamentata;Lycosidae;2;0;2;0;0;0;0;0;2;Apr;2019;01.-30.04.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
Pardosahortensis;Lycosidae;11;1;12;0;0;0;0;0;12;Apr;2019;01.-30.04.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
Pardosatenuipes;Lycosidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
Trochosaspinipalpis;Lycosidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
Robertusneglectus;Theridiidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
NA;Lycosidae;0;0;0;0;5;5;0;5;5;Apr;2019;01.-30.04.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
Trochosaterricola;Lycosidae;3;0;3;0;0;0;0;0;3;Apr;2019;01.-30.04.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
NA;Clubionidae;0;0;0;0;0;0;1;1;1;Apr;2019;01.-30.04.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
Ozyptilapraticola;Thomisidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
Clubionacomta;Clubionidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
NA;Theridiidae;0;0;0;0;0;0;1;1;1;Apr;2019;01.-30.04.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
Micronetaviaria;Linyphiidae;2;0;2;0;0;0;0;0;2;Apr;2019;01.-30.04.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
Diplocephaluspicinus;Linyphiidae;2;0;2;0;0;0;0;0;2;Apr;2019;01.-30.04.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
Centromerusleruthi;Linyphiidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
Pachygnathaclercki;Tetragnathidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel04;S2;2603207;1197084;46.92484;7.48073;508;18;3,4;3;3,1;3,3;3,4;3,2;2,1;3,3;1,8
NA;Linyphiidae;0;0;0;1;0;1;1;2;2;Apr;2019;01.-30.04.2019;Sel04;S2;2603207;1197084;46.92484;7.48073;508;18;3,4;3;3,1;3,3;3,4;3,2;2,1;3,3;1,8
NA;Lycosidae;0;0;0;0;0;0;2;2;2;Apr;2019;01.-30.04.2019;Sel04;S2;2603207;1197084;46.92484;7.48073;508;18;3,4;3;3,1;3,3;3,4;3,2;2,1;3,3;1,8
Trochosaspinipalpis;Lycosidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel04;S2;2603207;1197084;46.92484;7.48073;508;18;3,4;3;3,1;3,3;3,4;3,2;2,1;3,3;1,8
Trochosaruricola;Lycosidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel04;S2;2603207;1197084;46.92484;7.48073;508;18;3,4;3;3,1;3,3;3,4;3,2;2,1;3,3;1,8
Ozyptilapraticola;Thomisidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel04;S2;2603207;1197084;46.92484;7.48073;508;18;3,4;3;3,1;3,3;3,4;3,2;2,1;3,3;1,8
Histoponatorpida;Agelenidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel04;S2;2603207;1197084;46.92484;7.48073;508;18;3,4;3;3,1;3,3;3,4;3,2;2,1;3,3;1,8
Zelotesapricorum;Gnaphosidae;0;1;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel04;S2;2603207;1197084;46.92484;7.48073;508;18;3,4;3;3,1;3,3;3,4;3,2;2,1;3,3;1,8
Pardosasaltans;Lycosidae;35;2;37;0;0;0;0;0;37;Apr;2019;01.-30.04.2019;Sel04;S2;2603207;1197084;46.92484;7.48073;508;18;3,4;3;3,1;3,3;3,4;3,2;2,1;3,3;1,8
Pardosaamentata;Lycosidae;2;0;2;0;0;0;0;0;2;Apr;2019;01.-30.04.2019;Sel04;S2;2603207;1197084;46.92484;7.48073;508;18;3,4;3;3,1;3,3;3,4;3,2;2,1;3,3;1,8
Pardosahortensis;Lycosidae;76;10;86;0;0;0;0;0;86;Apr;2019;01.-30.04.2019;Sel04;S2;2603207;1197084;46.92484;7.48073;508;18;3,4;3;3,1;3,3;3,4;3,2;2,1;3,3;1,8
Hahniapusilla;Hahniidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel04;S2;2603207;1197084;46.92484;7.48073;508;18;3,4;3;3,1;3,3;3,4;3,2;2,1;3,3;1,8
Trochosaterricola;Lycosidae;4;2;6;0;0;0;0;0;6;Apr;2019;01.-30.04.2019;Sel05;S3;2603314;1197139;46.92533;7.48214;509;12;3,5;2,9;2,7;3,2;3,6;3,3;1,8;3;2,2
NA;Lycosidae;0;0;0;1;0;1;1;2;2;Apr;2019;01.-30.04.2019;Sel05;S3;2603314;1197139;46.92533;7.48214;509;12;3,5;2,9;2,7;3,2;3,6;3,3;1,8;3;2,2
NA;Agelenidae;0;0;0;1;0;1;0;1;1;Apr;2019;01.-30.04.2019;Sel05;S3;2603314;1197139;46.92533;7.48214;509;12;3,5;2,9;2,7;3,2;3,6;3,3;1,8;3;2,2
Centromerussylvaticus;Linyphiidae;0;1;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel05;S3;2603314;1197139;46.92533;7.48214;509;12;3,5;2,9;2,7;3,2;3,6;3,3;1,8;3;2,2
Mermessustrilobatus;Linyphiidae;1;1;2;0;0;0;0;0;2;Apr;2019;01.-30.04.2019;Sel05;S3;2603314;1197139;46.92533;7.48214;509;12;3,5;2,9;2,7;3,2;3,6;3,3;1,8;3;2,2
Agroecabrunnea;Liocranidae;0;1;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel05;S3;2603314;1197139;46.92533;7.48214;509;12;3,5;2,9;2,7;3,2;3,6;3,3;1,8;3;2,2
Inermocoelotesinermis;Agelenidae;0;1;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel05;S3;2603314;1197139;46.92533;7.48214;509;12;3,5;2,9;2,7;3,2;3,6;3,3;1,8;3;2,2
Histoponatorpida;Agelenidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel05;S3;2603314;1197139;46.92533;7.48214;509;12;3,5;2,9;2,7;3,2;3,6;3,3;1,8;3;2,2
Tisovagans;Linyphiidae;0;1;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel05;S3;2603314;1197139;46.92533;7.48214;509;12;3,5;2,9;2,7;3,2;3,6;3,3;1,8;3;2,2
Centromerusleruthi;Linyphiidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel05;S3;2603314;1197139;46.92533;7.48214;509;12;3,5;2,9;2,7;3,2;3,6;3,3;1,8;3;2,2
Pardosasaltans;Lycosidae;32;3;35;0;0;0;0;0;35;Apr;2019;01.-30.04.2019;Sel05;S3;2603314;1197139;46.92533;7.48214;509;12;3,5;2,9;2,7;3,2;3,6;3,3;1,8;3;2,2
Pardosahortensis;Lycosidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel05;S3;2603314;1197139;46.92533;7.48214;509;12;3,5;2,9;2,7;3,2;3,6;3,3;1,8;3;2,2
Trochosaterricola;Lycosidae;7;3;10;0;0;0;0;0;10;Apr;2019;01.-30.04.2019;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
Centromerussylvaticus;Linyphiidae;0;1;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
NA;Agelenidae;0;0;0;1;0;1;0;1;1;Apr;2019;01.-30.04.2019;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
NA;Linyphiidae;0;0;0;0;1;1;1;2;2;Apr;2019;01.-30.04.2019;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
NA;Lycosidae;0;0;0;1;0;1;0;1;1;Apr;2019;01.-30.04.2019;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
Histoponatorpida;Agelenidae;0;1;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
Clubionacomta;Clubionidae;0;1;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
NA;Theridiidae;0;0;0;0;0;0;1;1;1;Apr;2019;01.-30.04.2019;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
Tapinocybainsecta;Linyphiidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
Diplocephaluspicinus;Linyphiidae;3;0;3;0;0;0;0;0;3;Apr;2019;01.-30.04.2019;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
Pardosasaltans;Lycosidae;52;4;56;0;0;0;0;0;56;Apr;2019;01.-30.04.2019;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
Pardosahortensis;Lycosidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
Pardosaamentata;Lycosidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
NA;Lycosidae;0;0;0;1;3;4;1;5;5;Apr;2019;01.-30.04.2019;Sel07;S3;2603401;1197141;46.92535;7.48328;509;12;3,3;2,9;2,5;3;3,6;3;1,6;3,2;2,5
Trochosaterricola;Lycosidae;6;0;6;0;0;0;0;0;6;Apr;2019;01.-30.04.2019;Sel07;S3;2603401;1197141;46.92535;7.48328;509;12;3,3;2,9;2,5;3;3,6;3;1,6;3,2;2,5
Centromerusserratus;Linyphiidae;0;1;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel07;S3;2603401;1197141;46.92535;7.48328;509;12;3,3;2,9;2,5;3;3,6;3;1,6;3,2;2,5
NA;Phrurolithidae;0;0;0;0;0;0;1;1;1;Apr;2019;01.-30.04.2019;Sel07;S3;2603401;1197141;46.92535;7.48328;509;12;3,3;2,9;2,5;3;3,6;3;1,6;3,2;2,5
NA;Linyphiidae;0;0;0;2;0;2;0;2;2;Apr;2019;01.-30.04.2019;Sel07;S3;2603401;1197141;46.92535;7.48328;509;12;3,3;2,9;2,5;3;3,6;3;1,6;3,2;2,5
Pardosaamentata;Lycosidae;3;0;3;0;0;0;0;0;3;Apr;2019;01.-30.04.2019;Sel07;S3;2603401;1197141;46.92535;7.48328;509;12;3,3;2,9;2,5;3;3,6;3;1,6;3,2;2,5
Pardosahortensis;Lycosidae;2;0;2;0;0;0;0;0;2;Apr;2019;01.-30.04.2019;Sel07;S3;2603401;1197141;46.92535;7.48328;509;12;3,3;2,9;2,5;3;3,6;3;1,6;3,2;2,5
Pardosasaltans;Lycosidae;21;0;21;0;0;0;0;0;21;Apr;2019;01.-30.04.2019;Sel07;S3;2603401;1197141;46.92535;7.48328;509;12;3,3;2,9;2,5;3;3,6;3;1,6;3,2;2,5
NA;Linyphiidae;0;0;0;1;1;2;1;3;3;Apr;2019;01.-30.04.2019;Sel08;S1;2603450;1197118;46.92515;7.48393;509;16;3,5;2,9;3,1;3,3;3,6;3,3;2,2;2,9;2
NA;Gnaphosidae;0;0;0;1;1;2;0;2;2;Apr;2019;01.-30.04.2019;Sel08;S1;2603450;1197118;46.92515;7.48393;509;16;3,5;2,9;3,1;3,3;3,6;3,3;2,2;2,9;2
NA;Lycosidae;0;0;0;0;0;0;2;2;2;Apr;2019;01.-30.04.2019;Sel08;S1;2603450;1197118;46.92515;7.48393;509;16;3,5;2,9;3,1;3,3;3,6;3,3;2,2;2,9;2
Trochosaterricola;Lycosidae;2;0;2;0;0;0;0;0;2;Apr;2019;01.-30.04.2019;Sel08;S1;2603450;1197118;46.92515;7.48393;509;16;3,5;2,9;3,1;3,3;3,6;3,3;2,2;2,9;2
Trochosaspinipalpis;Lycosidae;1;1;2;0;0;0;0;0;2;Apr;2019;01.-30.04.2019;Sel08;S1;2603450;1197118;46.92515;7.48393;509;16;3,5;2,9;3,1;3,3;3,6;3,3;2,2;2,9;2
Trochosaruricola;Lycosidae;3;0;3;0;0;0;0;0;3;Apr;2019;01.-30.04.2019;Sel08;S1;2603450;1197118;46.92515;7.48393;509;16;3,5;2,9;3,1;3,3;3,6;3,3;2,2;2,9;2
Pardosahortensis;Lycosidae;72;15;87;0;0;0;0;0;87;Apr;2019;01.-30.04.2019;Sel08;S1;2603450;1197118;46.92515;7.48393;509;16;3,5;2,9;3,1;3,3;3,6;3,3;2,2;2,9;2
NA;Phrurolithidae;0;0;0;0;0;0;3;3;3;Apr;2019;01.-30.04.2019;Sel08;S1;2603450;1197118;46.92515;7.48393;509;16;3,5;2,9;3,1;3,3;3,6;3,3;2,2;2,9;2
Zelotesapricorum;Gnaphosidae;2;1;3;0;0;0;0;0;3;Apr;2019;01.-30.04.2019;Sel08;S1;2603450;1197118;46.92515;7.48393;509;16;3,5;2,9;3,1;3,3;3,6;3,3;2,2;2,9;2
Zelotesexiguus;Gnaphosidae;0;1;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel08;S1;2603450;1197118;46.92515;7.48393;509;16;3,5;2,9;3,1;3,3;3,6;3,3;2,2;2,9;2
Micariamicans;Gnaphosidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel08;S1;2603450;1197118;46.92515;7.48393;509;16;3,5;2,9;3,1;3,3;3,6;3,3;2,2;2,9;2
NA;Mimetidae;0;0;0;1;0;1;0;1;1;Apr;2019;01.-30.04.2019;Sel08;S1;2603450;1197118;46.92515;7.48393;509;16;3,5;2,9;3,1;3,3;3,6;3,3;2,2;2,9;2
Agroecabrunnea;Liocranidae;0;1;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel09;S1;2603491;1197110;46.92507;7.48446;509;14;3,6;2,9;3,2;3,7;3,7;3,7;2,5;3;1,4
Zelotesapricorum;Gnaphosidae;2;0;2;0;0;0;0;0;2;Apr;2019;01.-30.04.2019;Sel09;S1;2603491;1197110;46.92507;7.48446;509;14;3,6;2,9;3,2;3,7;3,7;3,7;2,5;3;1,4
Pardosahortensis;Lycosidae;32;15;47;0;0;0;0;0;47;Apr;2019;01.-30.04.2019;Sel09;S1;2603491;1197110;46.92507;7.48446;509;14;3,6;2,9;3,2;3,7;3,7;3,7;2,5;3;1,4
Phrurolithusfestivus;Phrurolithidae;1;1;2;0;0;0;0;0;2;Apr;2019;01.-30.04.2019;Sel09;S1;2603491;1197110;46.92507;7.48446;509;14;3,6;2,9;3,2;3,7;3,7;3,7;2,5;3;1,4
Trochosaruricola;Lycosidae;4;0;4;0;0;0;0;0;4;Apr;2019;01.-30.04.2019;Sel09;S1;2603491;1197110;46.92507;7.48446;509;14;3,6;2,9;3,2;3,7;3,7;3,7;2,5;3;1,4
NA;Linyphiidae;0;0;0;0;1;1;0;1;1;Apr;2019;01.-30.04.2019;Sel09;S1;2603491;1197110;46.92507;7.48446;509;14;3,6;2,9;3,2;3,7;3,7;3,7;2,5;3;1,4
NA;Lycosidae;0;0;0;2;1;3;1;4;4;Apr;2019;01.-30.04.2019;Sel10;S1;2603529;1197082;46.92482;7.48496;509;13;3,7;2,8;3,1;3,8;3,6;3,7;2,8;3,2;1,2
Trochosaterricola;Lycosidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel10;S1;2603529;1197082;46.92482;7.48496;509;13;3,7;2,8;3,1;3,8;3,6;3,7;2,8;3,2;1,2
Oedothoraxretusus;Linyphiidae;2;0;2;0;0;0;0;0;2;Apr;2019;01.-30.04.2019;Sel10;S1;2603529;1197082;46.92482;7.48496;509;13;3,7;2,8;3,1;3,8;3,6;3,7;2,8;3,2;1,2
Trochosaruricola;Lycosidae;7;0;7;0;0;0;0;0;7;Apr;2019;01.-30.04.2019;Sel10;S1;2603529;1197082;46.92482;7.48496;509;13;3,7;2,8;3,1;3,8;3,6;3,7;2,8;3,2;1,2
Pardosahortensis;Lycosidae;16;0;16;0;0;0;0;0;16;Apr;2019;01.-30.04.2019;Sel10;S1;2603529;1197082;46.92482;7.48496;509;13;3,7;2,8;3,1;3,8;3,6;3,7;2,8;3,2;1,2
Pardosaamentata;Lycosidae;6;1;7;0;0;0;0;0;7;Apr;2019;01.-30.04.2019;Sel10;S1;2603529;1197082;46.92482;7.48496;509;13;3,7;2,8;3,1;3,8;3,6;3,7;2,8;3,2;1,2
Pseudomaroaenigmaticus;Linyphiidae;0;1;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel10;S1;2603529;1197082;46.92482;7.48496;509;13;3,7;2,8;3,1;3,8;3,6;3,7;2,8;3,2;1,2
Nematogmussanguinolentus;Linyphiidae;0;1;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel10;S1;2603529;1197082;46.92482;7.48496;509;13;3,7;2,8;3,1;3,8;3,6;3,7;2,8;3,2;1,2
NA;Phrurolithidae;0;0;0;0;0;0;1;1;1;Apr;2019;01.-30.04.2019;Sel10;S1;2603529;1197082;46.92482;7.48496;509;13;3,7;2,8;3,1;3,8;3,6;3,7;2,8;3,2;1,2
NA;Linyphiidae;0;0;0;1;0;1;0;1;1;Apr;2019;01.-30.04.2019;Sel10;S1;2603529;1197082;46.92482;7.48496;509;13;3,7;2,8;3,1;3,8;3,6;3,7;2,8;3,2;1,2
Oedothoraxretusus;Linyphiidae;26;20;46;0;0;0;0;0;46;Apr;2019;01.-30.04.2019;Sel11;S1;2603551;1197082;46.92482;7.48525;508;11;3,3;2,8;3,5;4;3,5;3,5;2,8;2,6;1,4
NA;Linyphiidae;0;0;0;6;1;7;3;10;10;Apr;2019;01.-30.04.2019;Sel11;S1;2603551;1197082;46.92482;7.48525;508;11;3,3;2,8;3,5;4;3,5;3,5;2,8;2,6;1,4
Pachygnathaclercki;Tetragnathidae;2;0;2;0;0;0;0;0;2;Apr;2019;01.-30.04.2019;Sel11;S1;2603551;1197082;46.92482;7.48525;508;11;3,3;2,8;3,5;4;3,5;3,5;2,8;2,6;1,4
Gnathonariumdentatum;Linyphiidae;2;1;3;0;0;0;0;0;3;Apr;2019;01.-30.04.2019;Sel11;S1;2603551;1197082;46.92482;7.48525;508;11;3,3;2,8;3,5;4;3,5;3,5;2,8;2,6;1,4
Pardosaamentata;Lycosidae;11;1;12;0;0;0;0;0;12;Apr;2019;01.-30.04.2019;Sel11;S1;2603551;1197082;46.92482;7.48525;508;11;3,3;2,8;3,5;4;3,5;3,5;2,8;2,6;1,4
Pardosatenuipes;Lycosidae;7;1;8;0;0;0;0;0;8;Apr;2019;01.-30.04.2019;Sel11;S1;2603551;1197082;46.92482;7.48525;508;11;3,3;2,8;3,5;4;3,5;3,5;2,8;2,6;1,4
Trochosaruricola;Lycosidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel11;S1;2603551;1197082;46.92482;7.48525;508;11;3,3;2,8;3,5;4;3,5;3,5;2,8;2,6;1,4
NA;Lycosidae;0;0;0;2;3;5;0;5;5;Apr;2019;01.-30.04.2019;Sel11;S1;2603551;1197082;46.92482;7.48525;508;11;3,3;2,8;3,5;4;3,5;3,5;2,8;2,6;1,4
Pardosahortensis;Lycosidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel11;S1;2603551;1197082;46.92482;7.48525;508;11;3,3;2,8;3,5;4;3,5;3,5;2,8;2,6;1,4
Caviphantessaxetorum;Linyphiidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel11;S1;2603551;1197082;46.92482;7.48525;508;11;3,3;2,8;3,5;4;3,5;3,5;2,8;2,6;1,4
Porrhommaoblitum;Linyphiidae;0;1;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel11;S1;2603551;1197082;46.92482;7.48525;508;11;3,3;2,8;3,5;4;3,5;3,5;2,8;2,6;1,4
Agroecabrunnea;Liocranidae;1;0;1;0;0;0;0;0;1;Apr;2019;01.-30.04.2019;Sel12;S1;2603570;1197068;46.92469;7.4855;508;10;3,4;2,9;3,3;4;3,7;3,7;2,6;2,6;1,6
NA;Lycosidae;0;0;0;0;1;1;1;2;2;Apr;2019;01.-30.04.2019;Sel12;S1;2603570;1197068;46.92469;7.4855;508;10;3,4;2,9;3,3;4;3,7;3,7;2,6;2,6;1,6
NA;Linyphiidae;0;0;0;5;0;5;4;9;9;Apr;2019;01.-30.04.2019;Sel12;S1;2603570;1197068;46.92469;7.4855;508;10;3,4;2,9;3,3;4;3,7;3,7;2,6;2,6;1,6
Oedothoraxretusus;Linyphiidae;2;1;3;0;0;0;0;0;3;Apr;2019;01.-30.04.2019;Sel12;S1;2603570;1197068;46.92469;7.4855;508;10;3,4;2,9;3,3;4;3,7;3,7;2,6;2,6;1,6
